id_solicitud,edad,pais_origen,pais_destino,tipo_visa,nivel_educativo,estado_civil,oferta_empleo,ingresos_anuales_usd,dominio_idioma,num_dependientes,antecedentes_penales,documentacion_completa,tiempo_tramite_dias,estado_solicitud
234,28,Colombia,Mexico,Turismo,Tecnico,Soltero,Si,52510.83,Intermedio,0,No,Si,199,Aprobado
235,47,Ecuador,Brasil,Trabajo,Universitario,Casado,Si,35642.62,Basico,3,No,Si,98,Aprobado
236,62,Colombia,Mexico,Trabajo,Tecnico,Casado,No,6238.64,Intermedio,1,No,Si,152,Aprobado
237,61,Venezuela,Panama,Estudio,Universitario,Soltero,Si,36500.63,Nativo,5,No,Si,231,Aprobado
238,47,Peru,Argentina,Asilo,Secundaria,Viudo,No,58.78,Nativo,2,No,Si,159,Aprobado
239,22,Nicaragua,Mexico,Reunificacion_Familiar,Universitario,Divorciado,No,7617.5,Avanzado,1,No,No,44,Rechazado
240,56,Honduras,Canada,Estudio,Universitario,Viudo,No,2075.41,Intermedio,3,No,Si,307,Aprobado
241,63,Cuba,Panama,Reunificacion_Familiar,Tecnico,Casado,No,7011.96,Basico,0,No,No,386,Rechazado
242,29,Nicaragua,España,Estudio,Tecnico,Divorciado,No,7094.75,Intermedio,4,No,No,255,Rechazado
243,55,Bolivia,España,Asilo,Universitario,Soltero,No,3053.35,Intermedio,0,No,Si,117,Rechazado
244,47,Haiti,Canada,Estudio,Universitario,Viudo,Si,59198.42,Intermedio,0,Si,Si,101,Aprobado
245,23,Haiti,Brasil,Asilo,Tecnico,Viudo,Si,2263.52,Basico,2,No,No,286,Rechazado
246,58,Cuba,Argentina,Reunificacion_Familiar,Secundaria,Soltero,Si,35320.24,Basico,0,No,Si,387,Aprobado
247,45,Haiti,Canada,Asilo,Tecnico,Casado,Si,54413.65,Avanzado,0,No,No,82,Aprobado
248,50,Haiti,España,Reunificacion_Familiar,Universitario,Soltero,Si,38419.27,Avanzado,4,Si,No,353,Rechazado
249,21,Colombia,Brasil,Asilo,Tecnico,Divorciado,No,1225.02,Avanzado,5,Si,Si,66,Rechazado
250,56,Haiti,Brasil,Trabajo,Tecnico,Soltero,Si,47085.6,Intermedio,4,No,Si,282,Aprobado
251,44,Peru,Chile,Trabajo,Tecnico,Casado,No,3845.31,Intermedio,0,No,No,308,Rechazado
252,23,Ecuador,España,Trabajo,Posgrado,Casado,No,7818.33,Intermedio,0,No,Si,35,Aprobado
253,61,Nicaragua,Brasil,Trabajo,Secundaria,Soltero,Si,8303.67,Avanzado,2,No,Si,333,Aprobado
254,41,Nicaragua,Chile,Trabajo,Tecnico,Viudo,Si,23142.93,Nativo,3,No,No,72,Rechazado
255,28,Colombia,Brasil,Turismo,Tecnico,Viudo,Si,22785.05,Intermedio,0,No,No,387,Aprobado
256,49,Colombia,Brasil,Asilo,Primaria,Divorciado,No,98.88,Nativo,4,No,Si,304,Rechazado
257,39,Ecuador,España,Asilo,Universitario,Casado,No,5309.69,Avanzado,1,No,Si,328,Rechazado
258,28,Ecuador,Panama,Asilo,Universitario,Soltero,No,2565.07,Intermedio,2,Si,Si,344,Rechazado
259,23,El Salvador,Panama,Turismo,Tecnico,Viudo,No,949.65,Intermedio,5,Si,Si,33,Aprobado
260,23,Bolivia,Mexico,Turismo,Tecnico,Viudo,No,2906.74,Basico,1,No,Si,332,Rechazado
261,41,El Salvador,España,Trabajo,Universitario,Casado,Si,21308.34,Avanzado,2,No,Si,69,Aprobado
262,26,Honduras,España,Reunificacion_Familiar,Universitario,Casado,Si,51131.66,Intermedio,1,No,Si,227,Aprobado
263,61,Bolivia,España,Asilo,Tecnico,Casado,No,34.7,Avanzado,4,No,No,262,Rechazado
264,29,Bolivia,Chile,Estudio,Secundaria,Divorciado,No,3077.3,Nativo,5,No,Si,190,Aprobado
265,26,Haiti,Brasil,Turismo,Universitario,Divorciado,No,4382.45,Intermedio,5,No,Si,117,Rechazado
266,61,Nicaragua,Chile,Estudio,Tecnico,Divorciado,No,6086.2,Avanzado,4,No,Si,228,Rechazado
267,52,Peru,Brasil,Trabajo,Tecnico,Soltero,Si,3183.9,Basico,2,No,Si,161,Aprobado
268,21,Peru,Argentina,Turismo,Primaria,Viudo,Si,52082.12,Avanzado,1,No,Si,136,Aprobado
269,62,Peru,Estados Unidos,Asilo,Tecnico,Divorciado,No,430.42,Avanzado,1,No,No,241,Rechazado
270,63,Nicaragua,Argentina,Estudio,Secundaria,Casado,No,595.75,Nativo,5,No,Si,234,Aprobado
271,28,Bolivia,Mexico,Trabajo,Secundaria,Casado,Si,55717.69,Avanzado,5,No,Si,266,Aprobado
272,22,Nicaragua,Argentina,Estudio,Tecnico,Casado,No,4296.29,Basico,1,No,Si,184,Aprobado
273,57,Ecuador,Panama,Turismo,Universitario,Soltero,Si,20760.44,Intermedio,5,No,Si,35,Aprobado
274,25,Honduras,Mexico,Turismo,Universitario,Soltero,No,6576.87,Intermedio,4,No,Si,348,Rechazado
275,24,Haiti,Estados Unidos,Trabajo,Secundaria,Casado,No,3393.68,Basico,4,No,No,394,Rechazado
276,22,Haiti,Estados Unidos,Asilo,Universitario,Soltero,Si,3256.08,Avanzado,4,Si,No,147,Rechazado
277,43,Honduras,Canada,Trabajo,Tecnico,Soltero,No,5131.38,Avanzado,5,No,No,52,Rechazado
278,36,Peru,España,Reunificacion_Familiar,Universitario,Viudo,Si,49327.34,Basico,1,No,Si,215,Aprobado
279,36,Haiti,Mexico,Reunificacion_Familiar,Posgrado,Soltero,No,4440.56,Basico,0,No,Si,295,Aprobado
280,65,Nicaragua,Argentina,Asilo,Posgrado,Casado,Si,13247.28,Avanzado,1,No,Si,305,Aprobado
281,53,El Salvador,España,Reunificacion_Familiar,Universitario,Divorciado,Si,43535.36,Intermedio,2,No,Si,135,Aprobado
282,30,Nicaragua,Panama,Asilo,Secundaria,Divorciado,No,1219.16,Avanzado,2,No,Si,175,Aprobado
283,65,Honduras,Mexico,Reunificacion_Familiar,Secundaria,Divorciado,No,3702.79,Intermedio,2,No,Si,345,Rechazado
284,26,Ecuador,Argentina,Reunificacion_Familiar,Universitario,Soltero,No,7136.84,Avanzado,5,Si,Si,222,Aprobado
285,20,Ecuador,Mexico,Turismo,Universitario,Viudo,No,1189.06,Intermedio,4,No,Si,252,Aprobado
286,41,Ecuador,Estados Unidos,Estudio,Universitario,Casado,No,1122.97,Basico,4,No,Si,89,Aprobado
287,40,Venezuela,Argentina,Asilo,Secundaria,Divorciado,Si,2568.51,Intermedio,2,No,No,38,Rechazado
288,24,Ecuador,Mexico,Reunificacion_Familiar,Tecnico,Casado,Si,22711.11,Avanzado,0,No,Si,129,Aprobado
289,40,El Salvador,Panama,Turismo,Primaria,Casado,No,1839.93,Intermedio,2,No,Si,200,Rechazado
290,60,Cuba,Brasil,Reunificacion_Familiar,Universitario,Viudo,No,3832.17,Avanzado,5,No,Si,37,Rechazado
291,26,Ecuador,Estados Unidos,Turismo,Secundaria,Casado,Si,10802.25,Nativo,4,No,Si,383,Aprobado
292,23,Cuba,Panama,Turismo,Posgrado,Viudo,Si,49821.81,Avanzado,4,No,Si,352,Aprobado
293,61,Nicaragua,Panama,Turismo,Tecnico,Casado,Si,7932.79,Basico,4,No,Si,229,Aprobado
294,29,El Salvador,Estados Unidos,Turismo,Tecnico,Soltero,Si,39563.56,Nativo,4,No,No,362,Aprobado
295,41,Venezuela,Brasil,Estudio,Posgrado,Viudo,No,3049.89,Avanzado,5,No,No,309,Rechazado
296,48,Cuba,España,Reunificacion_Familiar,Tecnico,Viudo,Si,328.17,Avanzado,0,No,Si,18,Aprobado
297,38,Honduras,Canada,Trabajo,Secundaria,Divorciado,Si,32166.29,Avanzado,4,No,Si,119,Aprobado
298,48,Haiti,Canada,Turismo,Tecnico,Divorciado,No,4621.21,Avanzado,3,No,No,352,Rechazado
299,62,Haiti,España,Estudio,Tecnico,Divorciado,No,4912.2,Avanzado,0,No,No,17,Rechazado
300,48,Bolivia,Brasil,Trabajo,Secundaria,Casado,Si,36541.73,Avanzado,3,No,Si,379,Aprobado
